00:00:00:00 | CPU Temp: 63 C | Min: 63 C | Max: 63 C | Avg: 63 C
00:00:00:00 | CPU Temp: 54 C | Min: 54 C | Max: 63 C | Avg: 58.5 C
00:00:00:00 | CPU Temp: 56 C | Min: 54 C | Max: 63 C | Avg: 57.6667 C
00:00:00:01 | CPU Temp: 56 C | Min: 54 C | Max: 63 C | Avg: 57.25 C
00:00:00:01 | CPU Temp: 64 C | Min: 54 C | Max: 64 C | Avg: 58.6 C
00:00:00:02 | CPU Temp: 56 C | Min: 54 C | Max: 64 C | Avg: 58.1667 C
00:00:00:02 | CPU Temp: 54 C | Min: 54 C | Max: 64 C | Avg: 57.5714 C
00:00:00:02 | CPU Temp: 64 C | Min: 54 C | Max: 64 C | Avg: 58.375 C
00:00:00:03 | CPU Temp: 56 C | Min: 54 C | Max: 64 C | Avg: 58.1111 C
00:00:00:03 | CPU Temp: 63 C | Min: 54 C | Max: 64 C | Avg: 58.6 C
00:00:00:04 | CPU Temp: 56 C | Min: 54 C | Max: 64 C | Avg: 58.3636 C
00:00:00:04 | CPU Temp: 61 C | Min: 54 C | Max: 64 C | Avg: 58.5833 C
00:00:00:04 | CPU Temp: 68 C | Min: 54 C | Max: 68 C | Avg: 59.3077 C
00:00:00:05 | CPU Temp: 66 C | Min: 54 C | Max: 68 C | Avg: 59.7857 C
00:00:00:05 | CPU Temp: 63 C | Min: 54 C | Max: 68 C | Avg: 60 C
00:00:00:06 | CPU Temp: 64 C | Min: 54 C | Max: 68 C | Avg: 60.25 C
00:00:00:06 | CPU Temp: 57 C | Min: 54 C | Max: 68 C | Avg: 60.0588 C
00:00:00:07 | CPU Temp: 56 C | Min: 54 C | Max: 68 C | Avg: 59.8333 C
00:00:00:07 | CPU Temp: 59 C | Min: 54 C | Max: 68 C | Avg: 59.7895 C
00:00:00:07 | CPU Temp: 69 C | Min: 54 C | Max: 69 C | Avg: 60.25 C
00:00:00:08 | CPU Temp: 69 C | Min: 54 C | Max: 69 C | Avg: 60.6667 C
00:00:00:08 | CPU Temp: 68 C | Min: 54 C | Max: 69 C | Avg: 61 C
00:00:00:09 | CPU Temp: 66 C | Min: 54 C | Max: 69 C | Avg: 61.2174 C
00:00:00:09 | CPU Temp: 66 C | Min: 54 C | Max: 69 C | Avg: 61.4167 C
00:00:00:09 | CPU Temp: 62 C | Min: 54 C | Max: 69 C | Avg: 61.44 C
00:00:00:10 | CPU Temp: 56 C | Min: 54 C | Max: 69 C | Avg: 61.2308 C
00:00:00:10 | CPU Temp: 59 C | Min: 54 C | Max: 69 C | Avg: 61.1481 C
